iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
232000;512;3212.77;5972.56;85.90064025747253%;3435.068863;5972.09
233000;512;3225.2;6391.64;98.17809748232669%;3464.116191;6391.27
234000;512;3220.57;6414.35;99.16815967359815%;3503.58059;6413.97
235000;512;3232.65;6521.67;101.74377059069184%;3440.1923659999998;6521.28
236000;512;3228.07;6780.2;110.0388157629791%;3635.562529;6779.76
237000;512;3253.56;6456.28;98.43740395136405%;3640.061264;6455.89
238000;512;3280.41;6236.25;90.10580994448866%;3636.42339;6235.87
239000;512;3329.35;7732.71;132.25884932494333%;3507.962526;7732.18
240000;512;3309.07;7234.1;118.61429344196407%;3561.076814;7233.74
241000;512;3308.71;7509.96;126.97546778049451%;3543.732169;7509.56
242000;512;3364.08;8132.14;141.73444151149798%;3552.601166;8131.67
243000;512;3374.35;6493.18;92.42757864477605%;3611.147809;6492.72
244000;512;3394.67;6433.72;89.52416582466043%;3579.2483669999997;6433.36
245000;512;3403.9;7696.0;126.09359851934548%;3632.7617020000002;7695.64
246000;512;3406.11;8038.56;136.00412200428056%;3648.934875;8038.16
247000;512;3430.08;6717.2;95.83216717977423%;3755.6082229999997;6716.73
248000;512;3416.14;9163.12;168.23022475659667%;3762.499209;9162.76
249000;512;3440.55;7193.75;109.08720989376697%;3837.4870739999997;7193.4
250000;512;3436.26;8017.59;133.3231478409666%;3703.036421;8017.21
251000;512;3456.82;6672.65;93.0285638245555%;3762.394827;6672.15
252000;512;3498.72;6385.41;82.50703114281795%;3719.8632439999997;6384.97
253000;512;3490.26;7775.42;122.77480760745615%;3735.6667939999998;7774.93
254000;512;3496.57;7961.79;127.70286309154397%;3769.413372;7961.39
255000;512;3515.38;7114.36;102.37812128418548%;3905.820229;7114.0
256000;512;3546.76;5962.57;68.11315115767628%;3739.774379;5962.17
257000;512;3555.26;9247.08;160.09574545884124%;3941.983598;9246.58
258000;512;3570.57;7660.36;114.54165581405769%;3976.365343;7659.86
259000;512;3581.64;6865.6;91.68872360147867%;3975.797529;6865.21
260000;512;3581.47;7118.34;98.7547012818759%;3972.648885;7117.96
261000;512;3634.2;7100.31;95.37477298992903%;3947.456748;7099.91
262000;512;3627.33;7929.56;118.60597188565696%;3910.2603639999998;7929.15
263000;512;3627.72;9432.72;160.01786245906519%;3999.429598;9432.29
264000;512;3699.7;7092.87;91.71473362705085%;3880.078587;7092.43
265000;512;3711.11;8454.4;127.81324186025202%;3972.772177;8454.03
266000;512;3722.9;7785.94;109.13642590453676%;3988.324905;7785.55
267000;512;3720.75;8665.19;132.88826177517973%;3921.0849120000003;8664.77
268000;512;3717.04;9509.82;155.8438972946215%;4075.914142;9509.42
269000;512;3718.13;7775.51;109.12421028850525%;3973.1047630000003;7775.16
270000;512;3733.78;8282.92;121.83738731258937%;4016.925211;8282.52
271000;512;3767.68;8167.07;116.76655129947339%;4016.627927;8166.69
272000;512;3762.42;7458.01;98.22374960796509%;4192.516673;7457.62
273000;512;3770.11;8106.63;115.0236995737525%;4063.48869;8106.23
274000;512;3841.87;8306.9;116.22022608781661%;4239.368817;8306.51
275000;512;3839.81;7690.22;100.27605532565414%;4127.079595;7689.85
276000;512;3830.92;8190.53;113.8006014221127%;4241.270436000001;8190.03
277000;512;3833.33;9399.14;145.19516973493018%;4079.217777;9398.65
278000;512;3897.16;7477.11;91.86048301840314%;4075.044371;7476.71
279000;512;3859.21;9204.5;138.50736290587972%;4325.944973;9204.14
280000;512;3908.0;7409.99;89.61079836233367%;4182.507525;7409.59
281000;512;3911.44;7982.15;104.07190190824862%;4334.876851;7981.71
282000;512;3911.37;7820.85;99.95167933486222%;4326.888445;7820.46
283000;512;3926.25;6641.33;69.15198981216173%;4044.2191580000003;6640.93
284000;512;3956.76;8395.56;112.18269493221725%;4242.953738;8395.11
285000;512;3930.64;6851.84;74.31868601550894%;4300.180499;6851.45
286000;512;3942.7;8243.51;109.08286199812314%;4381.043214;8243.11
287000;512;4026.97;8471.39;110.36635485240764%;4319.59151;8470.96
288000;512;4030.38;8024.04;99.0889196552186%;4379.007259;8023.57
289000;512;3990.29;7648.37;91.67453994571822%;4454.141936;7647.87
290000;512;4002.6;8526.62;113.0270324289212%;4394.479776;8526.21
291000;512;4047.28;7639.13;88.74725741732719%;4379.52539;7638.67
292000;512;4077.14;10879.0;166.8291988992284%;4545.629272;10878.5
293000;512;4080.99;8893.55;117.92628749396592%;4358.025071;8893.16
294000;512;4119.34;7864.09;90.90655299149863%;4453.6064;7863.71
295000;512;4073.42;7941.01;94.94699785438281%;4526.842027;7940.64
296000;512;4104.36;8450.21;105.88374314143982%;4487.310848;8449.83
297000;512;4082.14;7409.56;81.51165810089807%;4474.697675;7409.17
298000;512;4169.69;8731.3;109.39925989701874%;4482.981355000001;8730.92
299000;512;4165.18;9724.17;133.46337973388904%;4508.529754;9723.72
300000;512;4204.98;8803.71;109.36389709344634%;4478.505268;8803.31
301000;512;4162.54;8562.65;105.70733254214974%;4459.366561;8562.24
302000;512;4215.51;8676.4;105.8208852546904%;4440.199414000001;8676.01
303000;512;4234.0;9558.31;125.75129900803022%;4602.181511;9557.92
304000;512;4200.66;7799.21;85.66630005761%;4649.405183;7798.86
305000;512;4271.45;8896.12;108.26932306359669%;4649.393593;8895.76
306000;512;4243.1;7759.98;82.88468336829202%;4657.190536;7759.63
307000;512;4289.71;9944.63;131.8252282788347%;4557.226324;9944.24
308000;512;4271.9;9259.68;116.75788290924416%;4646.049041;9259.29
309000;512;4330.59;8410.23;94.20517758550218%;4759.69231;8409.87
310000;512;4337.8;10679.5;146.19622850292774%;4680.592514;10679.1
311000;512;4317.89;10608.3;145.68249770142359%;4589.625008;10607.9
312000;512;4312.89;7608.82;76.42045125194473%;4705.977306;7608.43
313000;512;4324.47;9257.83;114.08010692639789%;4717.342612;9257.41
314000;512;4367.92;7914.76;81.20203666733823%;4612.209702;7914.36
315000;512;4410.41;11007.1;149.57090157150924%;4710.9786619999995;11006.7
316000;512;4404.9;8723.88;98.04944493632092%;4705.20871;8723.35
317000;512;4378.11;8338.46;90.45798301093394%;4711.3265280000005;8338.1
318000;512;4405.95;9071.06;105.8820458697897%;4674.418398;9070.59
319000;512;4446.33;8291.93;86.48930691154278%;4766.190101;8291.54
320000;512;4422.31;9464.08;114.00761140670824%;4752.18827;9463.68
321000;512;4447.49;8858.61;99.18223537321053%;4764.348011;8858.21
322000;512;4453.43;8606.1;93.24655377989549%;4811.326639;8605.68
323000;512;4504.93;9150.75;103.12746257988469%;4784.477618999999;9150.34
324000;512;4504.2;9005.37;99.93272945251101%;4888.078152;9004.86
325000;512;4508.82;9740.01;116.0212649872916%;4803.687514;9739.45
326000;512;4483.26;8479.78;89.14316814104023%;4794.425582;8479.35
327000;512;4518.89;9476.14;109.70061231851183%;4819.271731;9475.76
328000;512;4537.57;8634.33;90.2853289315647%;4894.772496;8633.88
329000;512;4558.58;10038.9;120.21989303686674%;4911.218671;10038.4
330000;512;4590.97;10989.9;139.38078445295872%;4920.271441;10989.5
331000;512;4610.9;8620.45;86.95807759873347%;4930.163976999999;8619.93
332000;512;4630.77;9489.67;104.92639453049924%;4933.131833;9489.26
333000;512;4652.6;10009.4;115.13562309246441%;5040.35804;10009.0
334000;512;4672.11;9785.5;109.44498310185335%;5069.733036;9785.0
335000;512;4685.09;10467.1;123.41299740239782%;5170.44753;10466.6
336000;512;4651.21;9787.01;110.4185792514206%;5002.476218;9786.65
337000;512;4641.65;10294.2;121.77889328148399%;4983.310211;10293.8
338000;512;4685.08;8825.11;88.36626055478243%;5065.183516;8824.73
339000;512;4695.37;10192.7;117.07980414749%;5051.713839;10192.3
340000;512;4757.57;9402.7;97.63660860481299%;5094.266546;9402.31
341000;512;4750.96;7993.06;68.24094498796033%;5058.624896;7992.52
342000;512;4751.25;10601.3;123.12654564588266%;5080.945866;10600.8
343000;512;4776.87;8881.4;85.92509320957028%;5117.482946;8880.99
344000;512;4789.69;8592.85;79.40305113692119%;5148.237569;8592.49
345000;512;4820.5;9121.5;89.22310963592989%;5092.8392269999995;9121.11
346000;512;4792.64;8869.28;85.06042598651266%;5192.067952;8868.88
347000;512;4774.93;11893.0;149.071714140312%;5216.805438;11892.5
348000;512;4851.58;9315.81;92.01600303406312%;5136.363063;9315.45
349000;512;4881.19;8944.33;83.2407671080208%;5194.581981;8943.96
350000;512;4841.87;8901.95;83.85355244977666%;5276.05267;8901.44
351000;512;4849.7;9376.78;93.34762975029385%;5221.138409;9376.39
352000;512;4903.28;9860.42;101.09844838557049%;5305.159813;9859.92
353000;512;4937.26;10591.9;114.52992145440992%;5237.838422;10591.5
354000;512;4872.98;9685.93;98.76810493784095%;5295.244354;9685.57
355000;512;4889.76;10910.1;123.12138019043879%;5334.601355;10909.8
356000;512;4925.93;9529.52;93.45626105121266%;5265.866239;9529.13
357000;512;4915.05;10152.7;106.5635141046378%;5378.355549;10152.3
358000;512;5014.27;10349.7;106.40492035730027%;5265.439245;10349.3
359000;512;4962.45;8918.58;79.72130701568783%;5380.312527;8918.09
360000;512;5047.61;9729.1;92.74666624402442%;5452.811694999999;9728.69
361000;512;5037.74;9824.32;95.01443107425155%;5313.382339;9823.91
362000;512;4988.62;8676.87;73.93327212736189%;5413.536531000001;8676.43
363000;512;5078.42;9945.45;95.8374848870318%;5422.439478;9945.06
364000;512;5049.8;12882.2;155.10317240286744%;5609.413108000001;12881.8
365000;512;5103.14;12758.4;150.01077767805702%;5625.080189;12758.0
366000;512;5110.96;9179.59;79.6059840030053%;5465.528195000001;9179.12
367000;512;5082.35;9268.18;82.36012868063001%;5548.897274999999;9267.77
368000;512;5115.43;9901.55;93.56241801764463%;5563.570344;9901.1
369000;512;5149.48;10475.5;103.4283073242347%;5489.535792;10475.0
370000;512;5155.52;11361.8;120.38126125007756%;5511.452145;11361.4
371000;512;5127.33;10156.2;98.07970230119771%;5699.115888;10155.7
372000;512;5174.88;9243.17;78.61612249945892%;5255.217357;9242.72
373000;512;5213.9;11219.4;115.1824929515334%;5285.094477000001;11218.9
374000;512;5210.39;8479.92;62.75019720212881%;5309.687783;8479.4
375000;512;5239.83;9297.97;77.4479324710916%;5412.585375;9297.52
376000;512;5178.92;8890.78;71.67247225290217%;5550.687261;8890.38
377000;512;5193.93;9187.04;76.88031991189716%;5356.200271000001;9186.65
378000;512;5256.77;8742.46;66.3085887341466%;5664.518765000001;8742.0
379000;512;5228.06;10365.8;98.27239932211945%;5859.904783;10365.3
380000;1024;5307.8;10374.2;95.45197633671202%;5563.965409;10373.8
381000;1024;5260.52;8881.96;68.84186354200722%;5453.970158;8881.48
382000;1024;5284.03;11095.3;109.977990283931%;5703.0866639999995;11094.8
383000;1024;5289.85;9526.59;80.09187406070114%;5642.829554;9526.0
384000;1024;5318.2;10939.6;105.70117708999287%;5686.2845640000005;10939.0
385000;1024;5311.49;9432.95;77.5951757416469%;5767.118783;9432.44
386000;1024;5381.71;8700.82;61.673891755594404%;5481.0258269999995;8700.2
387000;1024;5364.18;11433.3;113.14161717168325%;5542.173175999999;11432.8
388000;1024;5395.15;9906.36;83.61602550438822%;5522.060002;9905.8
389000;1024;5370.27;10690.5;99.06820327469566%;5825.916141;10690.0
390000;1024;5448.01;9181.39;68.52740725512618%;5845.331552;9180.91
391000;1024;5396.31;9928.09;83.97923766425575%;5821.847374999999;9927.6
392000;1024;5460.13;10827.0;98.29198205903522%;5765.929108;10826.4
393000;1024;5391.7;10867.0;101.55053137229446%;5783.760050000001;10866.5
394000;1024;5498.67;10246.3;86.3414243808048%;5783.417553;10245.8
395000;1024;5499.33;10068.7;83.08957636657559%;5888.566183;10068.2
